-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.258,  0.280
-183.793, 80.173, 0.389,  0.313
-183.790, 80.155, 0.577,  0.346
-183.788, 80.133, 0.655,  0.379
-183.786, 80.107, 0.807,  0.412
-183.784, 80.073, 1.047,  0.445
-183.782, 80.031, 1.275,  0.478
-183.780, 79.983, 1.448,  0.511
-183.778, 79.931, 1.562,  0.544
-183.776, 79.877, 1.623,  0.577
-183.774, 79.823, 1.634,  0.610
-183.772, 79.770, 1.608,  0.643
-183.770, 79.718, 1.578,  0.676
-183.768, 79.667, 1.545,  0.709
-183.767, 79.617, 1.514,  0.742
-183.765, 79.569, 1.485,  0.775
-183.763, 79.521, 1.460,  0.808
-183.761, 79.473, 1.440,  0.841
-183.759, 79.426, 1.425,  0.874
-183.757, 79.379, 1.416,  0.907
-183.755, 79.333, 1.413,  0.940
-183.753, 79.286, 1.414,  0.973
-183.752, 79.239, 1.421,  1.006
-183.750, 79.191, 1.431,  1.039
-183.747, 79.143, 1.443,  1.072
-183.745, 79.095, 1.458,  1.105
-183.743, 79.046, 1.473,  1.138
-183.741, 78.997, 1.487,  1.171
-183.739, 78.947, 1.501,  1.204
-183.737, 78.896, 1.514,  1.237
-183.735, 78.846, 1.525,  1.270
-183.733, 78.795, 1.535,  1.303
-183.731, 78.743, 1.543,  1.336
-183.728, 78.692, 1.550,  1.369
-183.726, 78.640, 1.556,  1.402
-183.724, 78.588, 1.561,  1.435
-183.722, 78.536, 1.565,  1.468
-183.719, 78.484, 1.569,  1.501
-183.717, 78.432, 1.572,  1.534
-183.715, 78.379, 1.576,  1.567
-183.713, 78.327, 1.579,  1.600
-183.710, 78.274, 1.583,  1.633
-183.708, 78.221, 1.587,  1.666
-183.706, 78.168, 1.592,  1.699
-183.703, 78.115, 1.597,  1.732
